Date,NAV
01-Jan-2016,805.06
04-Jan-2016,790.31
05-Jan-2016,789.81
06-Jan-2016,785.16
07-Jan-2016,768.92
08-Jan-2016,770.63
11-Jan-2016,766.72
12-Jan-2016,761.98
13-Jan-2016,766.27
14-Jan-2016,762.17
15-Jan-2016,755.06
18-Jan-2016,745.65
19-Jan-2016,752.11
20-Jan-2016,740.02
21-Jan-2016,737.93
22-Jan-2016,753.06
25-Jan-2016,754.19
27-Jan-2016,752.65
28-Jan-2016,750.54
29-Jan-2016,762.29
01-Feb-2016,764.14
02-Feb-2016,755.96
03-Feb-2016,743.55
04-Feb-2016,747.59
05-Feb-2016,756.16
08-Feb-2016,746.87
09-Feb-2016,736.84
10-Feb-2016,731.73
11-Feb-2016,708.40
12-Feb-2016,707.73
15-Feb-2016,723.27
16-Feb-2016,713.97
17-Feb-2016,718.48
18-Feb-2016,726.40
19-Feb-2016,728.18
22-Feb-2016,730.98
23-Feb-2016,719.10
24-Feb-2016,712.73
25-Feb-2016,707.32
26-Feb-2016,713.15
29-Feb-2016,708.38
01-Mar-2016,729.01
02-Mar-2016,746.45
03-Mar-2016,754.26
04-Mar-2016,758.14
08-Mar-2016,757.21
09-Mar-2016,761.00
10-Mar-2016,756.73
11-Mar-2016,758.94
14-Mar-2016,765.19
15-Mar-2016,757.23
16-Mar-2016,761.02
17-Mar-2016,761.60
18-Mar-2016,769.77
21-Mar-2016,780.10
22-Mar-2016,785.62
23-Mar-2016,784.74
28-Mar-2016,779.82
29-Mar-2016,773.09
30-Mar-2016,785.38
31-Mar-2016,791.27
01-Apr-2016,781.51
04-Apr-2016,786.23
05-Apr-2016,772.54
06-Apr-2016,772.86
07-Apr-2016,764.87
08-Apr-2016,767.57
11-Apr-2016,778.41
12-Apr-2016,780.87
13-Apr-2016,793.30
18-Apr-2016,800.37
20-Apr-2016,801.15
21-Apr-2016,800.43
22-Apr-2016,799.14
25-Apr-2016,794.94
26-Apr-2016,806.31
27-Apr-2016,806.90
28-Apr-2016,794.66
29-Apr-2016,795.17
02-May-2016,791.24
03-May-2016,786.55
04-May-2016,781.70
05-May-2016,787.31
06-May-2016,785.54
09-May-2016,796.73
10-May-2016,798.32
11-May-2016,793.59
12-May-2016,799.08
13-May-2016,790.23
16-May-2016,798.04
17-May-2016,798.45
18-May-2016,795.86
19-May-2016,788.19
20-May-2016,787.09
23-May-2016,784.56
24-May-2016,784.13
25-May-2016,802.35
26-May-2016,815.15
27-May-2016,824.34
30-May-2016,827.58
31-May-2016,826.68
01-Jun-2016,828.85
02-Jun-2016,834.99
03-Jun-2016,832.27
06-Jun-2016,831.02
07-Jun-2016,838.04
08-Jun-2016,840.53
09-Jun-2016,833.80
10-Jun-2016,831.23
13-Jun-2016,826.02
14-Jun-2016,826.72
15-Jun-2016,831.92
16-Jun-2016,829.19
17-Jun-2016,829.07
20-Jun-2016,836.31
21-Jun-2016,833.58
22-Jun-2016,832.62
23-Jun-2016,839.56
24-Jun-2016,824.88
27-Jun-2016,824.49
28-Jun-2016,824.67
29-Jun-2016,832.67
30-Jun-2016,842.88
01-Jul-2016,845.28
04-Jul-2016,850.89
05-Jul-2016,846.46
07-Jul-2016,847.11
08-Jul-2016,845.44
11-Jul-2016,860.19
12-Jul-2016,865.32
13-Jul-2016,865.48
14-Jul-2016,869.44
15-Jul-2016,868.04
18-Jul-2016,865.04
19-Jul-2016,866.75
20-Jul-2016,871.49
21-Jul-2016,865.76
22-Jul-2016,869.22
25-Jul-2016,879.56
26-Jul-2016,875.86
27-Jul-2016,876.96
28-Jul-2016,881.18
29-Jul-2016,881.11
01-Aug-2016,879.69
02-Aug-2016,879.53
03-Aug-2016,870.56
04-Aug-2016,872.16
05-Aug-2016,883.87
08-Aug-2016,886.67
09-Aug-2016,883.36
10-Aug-2016,876.08
11-Aug-2016,874.71
12-Aug-2016,880.64
16-Aug-2016,880.32
17-Aug-2016,877.18
18-Aug-2016,882.58
19-Aug-2016,882.65
22-Aug-2016,878.13
23-Aug-2016,878.64
24-Aug-2016,880.74
25-Aug-2016,877.47
26-Aug-2016,873.72
29-Aug-2016,876.40
30-Aug-2016,889.69
31-Aug-2016,896.17
01-Sep-2016,894.34
02-Sep-2016,896.19
06-Sep-2016,909.80
07-Sep-2016,908.90
08-Sep-2016,912.79
09-Sep-2016,905.77
12-Sep-2016,891.09
14-Sep-2016,892.16
15-Sep-2016,891.28
16-Sep-2016,894.84
19-Sep-2016,897.58
20-Sep-2016,896.80
21-Sep-2016,895.71
22-Sep-2016,903.61
23-Sep-2016,900.34
26-Sep-2016,892.21
27-Sep-2016,888.56
28-Sep-2016,892.61
29-Sep-2016,880.58
30-Sep-2016,878.58
03-Oct-2016,891.76
04-Oct-2016,892.93
05-Oct-2016,890.87
06-Oct-2016,886.81
07-Oct-2016,885.85
10-Oct-2016,889.57
13-Oct-2016,874.12
14-Oct-2016,877.29
17-Oct-2016,869.13
18-Oct-2016,881.93
19-Oct-2016,882.14
20-Oct-2016,886.69
21-Oct-2016,886.13
24-Oct-2016,887.73
25-Oct-2016,887.03
26-Oct-2016,879.27
27-Oct-2016,880.79
28-Oct-2016,881.79
30-Oct-2016,880.01
01-Nov-2016,881.84
02-Nov-2016,872.55
03-Nov-2016,870.69
04-Nov-2016,863.49
07-Nov-2016,872.47
08-Nov-2016,881.64
09-Nov-2016,862.42
10-Nov-2016,875.32
11-Nov-2016,850.14
15-Nov-2016,830.88
16-Nov-2016,829.55
17-Nov-2016,829.82
18-Nov-2016,826.81
21-Nov-2016,813.09
22-Nov-2016,820.02
23-Nov-2016,822.53
24-Nov-2016,817.64
25-Nov-2016,828.48
28-Nov-2016,832.45
29-Nov-2016,833.96
30-Nov-2016,839.18
01-Dec-2016,835.29
02-Dec-2016,826.23
05-Dec-2016,831.82
06-Dec-2016,832.54
07-Dec-2016,827.98
08-Dec-2016,840.01
09-Dec-2016,841.85
12-Dec-2016,833.49
13-Dec-2016,838.74
14-Dec-2016,834.33
15-Dec-2016,832.65
16-Dec-2016,830.40
19-Dec-2016,828.91
20-Dec-2016,826.20
21-Dec-2016,825.27
22-Dec-2016,815.90
23-Dec-2016,816.46
26-Dec-2016,807.82
27-Dec-2016,818.64
28-Dec-2016,818.57
29-Dec-2016,825.81
30-Dec-2016,834.89
02-Jan-2017,835.11
03-Jan-2017,836.12
04-Jan-2017,835.80
05-Jan-2017,843.90
06-Jan-2017,842.32
09-Jan-2017,841.29
10-Jan-2017,844.47
11-Jan-2017,854.30
12-Jan-2017,856.65
13-Jan-2017,856.01
16-Jan-2017,857.67
17-Jan-2017,855.60
18-Jan-2017,857.48
19-Jan-2017,859.51
20-Jan-2017,851.03
23-Jan-2017,854.57
24-Jan-2017,862.82
25-Jan-2017,874.59
27-Jan-2017,879.88
30-Jan-2017,879.40
31-Jan-2017,872.28
01-Feb-2017,887.28
02-Feb-2017,888.96
03-Feb-2017,889.93
06-Feb-2017,896.59
07-Feb-2017,893.72
08-Feb-2017,894.36
09-Feb-2017,894.56
10-Feb-2017,895.89
13-Feb-2017,897.00
14-Feb-2017,897.55
15-Feb-2017,890.41
16-Feb-2017,895.12
17-Feb-2017,899.50
20-Feb-2017,904.99
21-Feb-2017,907.16
22-Feb-2017,909.56
23-Feb-2017,911.31
27-Feb-2017,907.49
28-Feb-2017,906.65
01-Mar-2017,915.96
02-Mar-2017,910.72
03-Mar-2017,910.44
06-Mar-2017,915.56
07-Mar-2017,913.10
08-Mar-2017,910.79
09-Mar-2017,914.95
10-Mar-2017,914.50
14-Mar-2017,927.37
15-Mar-2017,926.98
16-Mar-2017,934.64
17-Mar-2017,934.35
20-Mar-2017,932.61
21-Mar-2017,933.05
22-Mar-2017,922.75
23-Mar-2017,930.01
24-Mar-2017,933.13
27-Mar-2017,926.00
28-Mar-2017,929.84
29-Mar-2017,932.36
30-Mar-2017,937.57
31-Mar-2017,938.27
03-Apr-2017,944.12
05-Apr-2017,945.33
06-Apr-2017,945.41
07-Apr-2017,939.65
10-Apr-2017,939.19
11-Apr-2017,943.44
12-Apr-2017,940.37
13-Apr-2017,935.06
17-Apr-2017,934.54
18-Apr-2017,929.58
19-Apr-2017,930.73
20-Apr-2017,933.59
21-Apr-2017,931.12
24-Apr-2017,941.48
25-Apr-2017,949.22
26-Apr-2017,954.08
27-Apr-2017,953.49
28-Apr-2017,949.88
02-May-2017,950.33
03-May-2017,950.44
04-May-2017,955.64
05-May-2017,949.02
08-May-2017,950.27
09-May-2017,951.12
10-May-2017,960.03
11-May-2017,961.13
12-May-2017,959.47
15-May-2017,963.05
16-May-2017,970.65
17-May-2017,972.12
18-May-2017,962.33
19-May-2017,962.53
22-May-2017,963.64
23-May-2017,958.01
24-May-2017,955.32
25-May-2017,970.46
26-May-2017,978.89
29-May-2017,980.29
30-May-2017,981.75
31-May-2017,982.22
01-Jun-2017,982.07
02-Jun-2017,986.33
05-Jun-2017,989.44
06-Jun-2017,985.50
07-Jun-2017,987.78
08-Jun-2017,987.38
09-Jun-2017,989.54
12-Jun-2017,983.25
13-Jun-2017,984.24
14-Jun-2017,983.71
15-Jun-2017,980.40
16-Jun-2017,980.52
19-Jun-2017,988.26
20-Jun-2017,988.77
21-Jun-2017,985.75
22-Jun-2017,985.00
