Date,NAV
01-Jan-2016,794.05
04-Jan-2016,785.62
05-Jan-2016,784.75
06-Jan-2016,779.30
07-Jan-2016,763.60
08-Jan-2016,765.80
11-Jan-2016,760.35
12-Jan-2016,757.10
13-Jan-2016,758.50
14-Jan-2016,758.50
15-Jan-2016,749.00
18-Jan-2016,741.03
19-Jan-2016,748.15
20-Jan-2016,735.95
21-Jan-2016,736.00
22-Jan-2016,748.70
25-Jan-2016,744.50
29-Jan-2016,759.16
01-Feb-2016,758.30
02-Feb-2016,755.00
03-Feb-2016,746.80
04-Feb-2016,742.00
05-Feb-2016,755.93
08-Feb-2016,744.60
09-Feb-2016,737.00
10-Feb-2016,730.00
11-Feb-2016,704.00
12-Feb-2016,704.00
15-Feb-2016,719.45
16-Feb-2016,720.00
17-Feb-2016,704.00
18-Feb-2016,720.35
19-Feb-2016,722.00
22-Feb-2016,723.00
23-Feb-2016,718.05
24-Feb-2016,705.10
25-Feb-2016,704.35
26-Feb-2016,705.01
29-Feb-2016,703.25
01-Mar-2016,723.00
02-Mar-2016,738.45
03-Mar-2016,750.00
04-Mar-2016,751.00
08-Mar-2016,746.30
09-Mar-2016,757.80
10-Mar-2016,755.00
11-Mar-2016,751.00
14-Mar-2016,756.85
15-Mar-2016,749.80
16-Mar-2016,757.70
17-Mar-2016,764.00
18-Mar-2016,767.15
21-Mar-2016,776.31
22-Mar-2016,767.30
23-Mar-2016,773.00
29-Mar-2016,764.75
30-Mar-2016,781.60
31-Mar-2016,784.65
01-Apr-2016,781.15
04-Apr-2016,778.86
05-Apr-2016,766.76
06-Apr-2016,772.10
07-Apr-2016,764.00
08-Apr-2016,759.25
11-Apr-2016,772.95
13-Apr-2016,792.55
18-Apr-2016,799.47
20-Apr-2016,792.85
21-Apr-2016,800.60
22-Apr-2016,793.50
25-Apr-2016,791.90
26-Apr-2016,800.87
27-Apr-2016,805.00
28-Apr-2016,793.98
29-Apr-2016,790.15
02-May-2016,783.55
03-May-2016,782.10
04-May-2016,781.05
05-May-2016,780.90
06-May-2016,775.20
10-May-2016,791.35
11-May-2016,794.75
12-May-2016,798.35
13-May-2016,788.80
16-May-2016,782.10
17-May-2016,794.05
18-May-2016,795.50
19-May-2016,781.00
20-May-2016,783.30
23-May-2016,785.05
24-May-2016,777.95
25-May-2016,788.70
26-May-2016,810.00
27-May-2016,818.90
30-May-2016,822.25
31-May-2016,821.05
01-Jun-2016,821.80
02-Jun-2016,821.05
03-Jun-2016,828.15
06-Jun-2016,824.85
07-Jun-2016,831.35
08-Jun-2016,831.80
09-Jun-2016,828.35
10-Jun-2016,822.15
13-Jun-2016,818.00
14-Jun-2016,817.57
15-Jun-2016,819.00
16-Jun-2016,818.00
17-Jun-2016,822.80
20-Jun-2016,826.85
21-Jun-2016,826.85
22-Jun-2016,828.05
23-Jun-2016,832.10
24-Jun-2016,816.00
27-Jun-2016,817.60
28-Jun-2016,825.05
29-Jun-2016,834.80
30-Jun-2016,844.80
01-Jul-2016,840.00
04-Jul-2016,852.95
05-Jul-2016,845.15
07-Jul-2016,845.70
08-Jul-2016,845.20
11-Jul-2016,858.29
12-Jul-2016,862.60
13-Jul-2016,863.05
14-Jul-2016,866.85
15-Jul-2016,866.42
18-Jul-2016,863.00
19-Jul-2016,862.80
20-Jul-2016,869.90
21-Jul-2016,867.00
22-Jul-2016,865.15
25-Jul-2016,872.00
26-Jul-2016,874.00
27-Jul-2016,872.60
28-Jul-2016,875.18
29-Jul-2016,880.00
01-Aug-2016,873.95
02-Aug-2016,873.00
03-Aug-2016,867.00
04-Aug-2016,870.45
05-Aug-2016,876.00
08-Aug-2016,883.05
09-Aug-2016,880.00
10-Aug-2016,871.05
11-Aug-2016,868.60
12-Aug-2016,880.00
16-Aug-2016,878.00
17-Aug-2016,886.00
18-Aug-2016,879.10
19-Aug-2016,884.45
22-Aug-2016,876.80
23-Aug-2016,875.70
24-Aug-2016,877.45
25-Aug-2016,872.95
26-Aug-2016,872.00
29-Aug-2016,872.00
30-Aug-2016,890.00
31-Aug-2016,897.25
01-Sep-2016,893.55
02-Sep-2016,897.18
06-Sep-2016,904.58
07-Sep-2016,908.00
08-Sep-2016,906.00
09-Sep-2016,909.70
12-Sep-2016,884.84
14-Sep-2016,885.00
15-Sep-2016,884.90
16-Sep-2016,891.20
20-Sep-2016,889.40
21-Sep-2016,892.00
22-Sep-2016,898.10
23-Sep-2016,899.80
26-Sep-2016,885.40
27-Sep-2016,888.00
28-Sep-2016,887.00
29-Sep-2016,873.00
30-Sep-2016,878.85
03-Oct-2016,886.55
04-Oct-2016,888.75
05-Oct-2016,888.60
07-Oct-2016,883.00
10-Oct-2016,884.00
13-Oct-2016,868.00
14-Oct-2016,873.00
17-Oct-2016,876.85
18-Oct-2016,872.00
19-Oct-2016,878.40
20-Oct-2016,881.95
21-Oct-2016,886.65
24-Oct-2016,885.65
25-Oct-2016,883.00
26-Oct-2016,877.00
27-Oct-2016,877.45
28-Oct-2016,879.65
01-Nov-2016,876.05
02-Nov-2016,868.00
04-Nov-2016,861.45
07-Nov-2016,869.85
08-Nov-2016,871.85
09-Nov-2016,856.75
10-Nov-2016,871.40
15-Nov-2016,825.00
16-Nov-2016,824.31
17-Nov-2016,830.00
18-Nov-2016,820.70
21-Nov-2016,808.05
22-Nov-2016,812.25
23-Nov-2016,821.00
24-Nov-2016,810.00
25-Nov-2016,820.80
28-Nov-2016,829.20
29-Nov-2016,832.00
30-Nov-2016,839.60
01-Dec-2016,839.05
02-Dec-2016,824.50
05-Dec-2016,825.00
06-Dec-2016,831.35
07-Dec-2016,827.30
08-Dec-2016,837.00
09-Dec-2016,839.70
12-Dec-2016,834.40
13-Dec-2016,836.40
14-Dec-2016,834.55
15-Dec-2016,832.35
16-Dec-2016,828.00
19-Dec-2016,825.75
20-Dec-2016,826.29
21-Dec-2016,828.95
22-Dec-2016,818.45
23-Dec-2016,813.00
26-Dec-2016,808.00
27-Dec-2016,818.66
28-Dec-2016,822.70
29-Dec-2016,826.90
30-Dec-2016,831.00
02-Jan-2017,838.95
03-Jan-2017,830.15
05-Jan-2017,840.00
06-Jan-2017,845.00
09-Jan-2017,837.80
11-Jan-2017,857.85
12-Jan-2017,860.30
13-Jan-2017,858.00
16-Jan-2017,860.85
17-Jan-2017,854.10
18-Jan-2017,860.80
19-Jan-2017,862.00
20-Jan-2017,854.00
23-Jan-2017,855.00
24-Jan-2017,862.13
25-Jan-2017,878.70
27-Jan-2017,882.00
30-Jan-2017,878.00
31-Jan-2017,873.55
01-Feb-2017,882.50
02-Feb-2017,887.80
03-Feb-2017,892.00
06-Feb-2017,901.00
07-Feb-2017,892.00
08-Feb-2017,894.00
09-Feb-2017,893.10
10-Feb-2017,895.30
13-Feb-2017,900.00
14-Feb-2017,895.33
15-Feb-2017,897.00
16-Feb-2017,898.60
17-Feb-2017,899.20
20-Feb-2017,907.05
21-Feb-2017,906.00
22-Feb-2017,907.00
23-Feb-2017,915.45
27-Feb-2017,910.00
28-Feb-2017,903.90
01-Mar-2017,909.00
02-Mar-2017,913.05
06-Mar-2017,912.00
07-Mar-2017,910.00
08-Mar-2017,908.00
09-Mar-2017,908.00
10-Mar-2017,915.00
14-Mar-2017,931.05
15-Mar-2017,926.62
16-Mar-2017,933.20
17-Mar-2017,933.85
20-Mar-2017,931.15
21-Mar-2017,926.00
22-Mar-2017,918.11
23-Mar-2017,932.50
24-Mar-2017,928.00
27-Mar-2017,925.50
28-Mar-2017,926.85
29-Mar-2017,930.45
