Date,TCS,INFY,TATASTEEL,HDFC,SBIN,BHARTIARTL,MARUTI,ASIANPAINT,HINDUNILVR,SUNPHARMA
2016-01-01,2416.4,1105.25,257.4,1258.45,227.8,340.5,4638.5,878.75,856.55,815.55
2016-01-04,2369.6,1078.9,256.9,1216.7,220.7,326.8,4580.65,880.8,859.0,799.1
2016-01-05,2348.95,1074.05,274.3,1209.4,217.75,323.45,4566.95,900.65,847.95,800.5
2016-01-06,2381.6,1069.35,268.75,1209.3,216.85,322.2,4480.8,886.4,843.05,791.95
2016-01-07,2371.25,1050.8,249.9,1179.45,209.55,322.35,4267.9,872.35,820.25,783.8
2016-01-08,2397.6,1063.3,253.6,1174.4,208.95,323.85,4214.75,874.6,809.85,794.15
2016-01-11,2362.35,1055.7,251.65,1161.55,204.3,321.15,4272.4,873.85,811.75,782.25
2016-01-12,2327.05,1049.95,245.75,1151.85,199.4,315.4,4266.7,872.9,819.7,788.15
2016-01-13,2279.2,1083.4,246.6,1167.65,200.9,308.6,4291.25,868.55,832.75,796.6
2016-01-14,2278.8,1133.0,238.75,1159.3,196.05,308.75,4248.25,889.4,827.25,791.85
2016-01-15,2261.1,1139.9,229.7,1149.8,184.3,306.1,4273.35,879.25,804.25,787.1
2016-01-18,2277.65,1131.9,235.9,1131.8,181.0,300.25,4236.2,850.3,809.95,784.95
2016-01-19,2279.3,1139.65,238.0,1153.0,182.95,310.3,4198.15,845.55,810.45,793.9
2016-01-20,2280.1,1121.25,232.0,1136.65,173.65,309.6,4058.95,840.35,795.05,792.6
2016-01-21,2254.5,1137.05,235.6,1131.1,175.6,309.3,3891.7,844.45,775.6,773.15
2016-01-22,2295.75,1136.25,247.8,1158.45,184.6,298.7,4104.95,869.95,771.5,789.2
2016-01-25,2304.65,1137.65,254.9,1174.6,182.95,297.5,4081.35,878.6,783.3,807.25
2016-01-27,2319.75,1138.5,257.6,1169.95,184.4,297.8,4111.95,858.55,767.9,821.15
2016-01-28,2331.2,1129.6,254.2,1147.75,185.25,291.4,4103.3,858.95,791.75,834.15
2016-01-29,2391.3,1164.9,249.7,1180.0,179.9,289.9,4095.85,869.9,816.9,872.95
2016-02-01,2402.7,1173.35,249.3,1180.05,172.75,296.6,3948.25,887.4,800.95,872.3
2016-02-02,2398.1,1175.55,231.45,1179.8,169.4,302.2,3874.95,882.5,800.1,835.15
2016-02-03,2416.3,1157.7,224.0,1160.95,166.05,299.8,3828.35,863.7,821.6,834.9
2016-02-04,2420.05,1179.75,225.95,1168.35,162.85,304.25,3794.65,889.35,834.8,835.6
2016-02-05,2421.95,1174.7,233.85,1182.95,168.2,307.2,3723.4,899.25,844.95,857.55
2016-02-08,2362.95,1150.8,234.1,1164.1,172.15,311.0,3732.55,888.6,828.9,835.65
2016-02-09,2281.4,1107.65,235.5,1159.9,167.05,312.25,3657.1,884.2,826.35,854.05
2016-02-10,2268.8,1108.55,235.7,1116.55,159.0,311.3,3678.55,876.55,824.55,855.75
2016-02-11,2197.95,1078.65,224.5,1066.65,154.25,308.7,3541.45,855.7,802.6,830.4
2016-02-12,2226.6,1084.65,217.5,1083.75,154.8,324.55,3549.65,854.9,812.6,847.35
2016-02-15,2269.15,1091.75,246.7,1080.45,167.85,318.9,3711.25,858.7,804.7,850.2
2016-02-16,2265.55,1079.15,244.85,1077.15,156.4,315.3,3705.2,840.3,803.2,827.8
2016-02-17,2275.55,1097.85,251.25,1076.3,158.95,319.55,3749.15,856.0,812.55,855.8
2016-02-18,2315.85,1123.4,250.85,1069.1,159.8,321.2,3653.25,835.25,827.4,870.45
2016-02-19,2319.65,1127.25,253.25,1060.85,164.7,326.05,3579.15,854.7,827.6,864.2
2016-02-22,2315.9,1126.65,255.25,1058.4,164.95,329.1,3520.8,870.85,861.65,882.45
2016-02-23,2264.0,1123.9,253.55,1051.1,158.5,321.3,3487.4,877.1,836.85,871.1
2016-02-24,2210.95,1125.35,247.9,1022.1,156.3,323.95,3489.7,881.8,836.75,854.55
2016-02-25,2212.85,1110.3,248.15,1042.65,151.8,322.55,3414.15,861.7,842.8,875.35
2016-02-26,2210.5,1121.15,248.45,1053.7,155.9,317.95,3409.2,862.55,849.9,871.9
2016-02-29,2176.8,1084.05,249.1,1060.3,158.75,315.5,3236.5,846.1,830.4,853.9
2016-03-01,2276.65,1125.45,257.05,1069.45,162.05,320.7,3494.4,871.95,824.15,868.4
2016-03-02,2318.85,1156.0,267.55,1099.55,181.15,326.35,3612.65,871.85,849.25,851.85
2016-03-03,2373.15,1169.3,287.05,1124.15,182.75,333.4,3608.65,880.25,848.9,870.9
2016-03-04,2357.55,1170.65,288.55,1129.0,188.4,329.25,3555.1,865.8,848.75,856.8
2016-03-08,2354.3,1163.45,291.8,1146.45,183.35,331.5,3462.65,875.7,826.25,858.6
2016-03-09,2357.25,1178.5,295.4,1128.65,183.4,334.6,3576.4,876.2,839.65,860.9
2016-03-10,2348.3,1142.5,296.7,1153.15,180.5,336.3,3627.2,894.75,837.55,865.05
2016-03-11,2365.25,1143.0,294.05,1160.5,180.1,337.25,3641.2,898.35,851.6,868.2
2016-03-14,2355.0,1141.2,296.7,1158.7,181.75,340.75,3648.15,899.35,857.15,862.2
2016-03-15,2329.9,1134.4,300.45,1111.35,185.3,342.9,3654.55,884.6,840.8,843.15
2016-03-16,2327.05,1152.45,299.5,1125.95,185.2,338.5,3667.35,864.9,844.15,835.75
2016-03-17,2352.05,1161.75,295.9,1108.05,186.35,340.75,3635.45,872.55,849.65,827.25
2016-03-18,2425.85,1193.4,302.2,1129.3,191.25,344.3,3621.4,875.35,848.35,816.0
2016-03-21,2446.25,1194.9,303.55,1151.25,196.8,353.65,3669.55,859.65,879.65,836.45
2016-03-22,2473.1,1189.95,309.8,1168.1,197.5,350.9,3699.55,853.35,870.15,844.6
2016-03-23,2473.8,1207.8,317.2,1162.75,196.6,358.2,3736.0,850.0,873.6,846.2
2016-03-28,2473.4,1204.9,299.15,1143.35,188.3,349.8,3638.95,845.4,863.65,809.25
2016-03-29,2469.4,1197.25,303.85,1125.75,189.5,354.5,3729.95,856.1,861.15,794.35
2016-03-30,2489.5,1205.95,324.3,1115.3,197.55,353.8,3727.45,881.85,861.65,811.7
2016-03-31,2520.3,1218.3,319.7,1105.6,194.25,350.8,3716.3,868.4,869.5,820.0
2016-04-01,2453.9,1205.45,317.75,1113.4,195.65,335.45,3723.2,870.0,867.8,815.1
2016-04-04,2471.25,1243.7,320.35,1103.7,194.7,348.5,3683.25,886.15,872.2,815.05
2016-04-05,2462.75,1219.8,312.3,1103.45,184.35,330.5,3554.85,869.85,868.5,800.8
