Date,Close
01-Jan-2016,790.50
04-Jan-2016,782.95
05-Jan-2016,776.90
06-Jan-2016,783.35
07-Jan-2016,761.21
08-Jan-2016,757.70
11-Jan-2016,755.70
12-Jan-2016,754.65
13-Jan-2016,752.60
14-Jan-2016,754.30
15-Jan-2016,747.55
18-Jan-2016,740.00
19-Jan-2016,740.10
20-Jan-2016,733.95
21-Jan-2016,734.00
22-Jan-2016,738.15
25-Jan-2016,745.70
27-Jan-2016,746.04
28-Jan-2016,745.00
29-Jan-2016,752.50
01-Feb-2016,755.10
02-Feb-2016,753.37
04-Feb-2016,742.48
05-Feb-2016,746.75
08-Feb-2016,750.00
09-Feb-2016,733.40
10-Feb-2016,729.39
11-Feb-2016,701.49
12-Feb-2016,699.37
15-Feb-2016,716.62
16-Feb-2016,702.55
17-Feb-2016,707.55
18-Feb-2016,718.00
19-Feb-2016,721.00
22-Feb-2016,722.90
23-Feb-2016,712.44
24-Feb-2016,703.00
25-Feb-2016,698.00
26-Feb-2016,705.50
29-Feb-2016,698.11
01-Mar-2016,724.50
02-Mar-2016,734.91
03-Mar-2016,746.59
04-Mar-2016,745.95
08-Mar-2016,748.95
09-Mar-2016,751.54
10-Mar-2016,751.74
11-Mar-2016,750.40
14-Mar-2016,756.35
15-Mar-2016,750.41
16-Mar-2016,745.00
17-Mar-2016,751.01
18-Mar-2016,758.25
21-Mar-2016,764.38
22-Mar-2016,773.90
23-Mar-2016,775.50
28-Mar-2016,769.37
29-Mar-2016,763.94
30-Mar-2016,772.93
31-Mar-2016,779.90
01-Apr-2016,768.00
04-Apr-2016,778.00
05-Apr-2016,760.79
06-Apr-2016,765.09
07-Apr-2016,756.66
08-Apr-2016,759.95
11-Apr-2016,766.00
12-Apr-2016,771.35
13-Apr-2016,783.16
18-Apr-2016,788.83
20-Apr-2016,789.10
21-Apr-2016,789.85
22-Apr-2016,789.60
25-Apr-2016,784.55
26-Apr-2016,798.15
27-Apr-2016,794.70
28-Apr-2016,802.35
29-Apr-2016,791.00
02-May-2016,783.29
03-May-2016,772.06
04-May-2016,775.79
05-May-2016,775.34
06-May-2016,772.09
09-May-2016,788.84
10-May-2016,786.85
11-May-2016,783.35
12-May-2016,787.85
13-May-2016,783.00
16-May-2016,783.90
17-May-2016,786.30
18-May-2016,784.50
19-May-2016,786.53
20-May-2016,782.09
23-May-2016,779.65
24-May-2016,776.71
25-May-2016,789.08
26-May-2016,806.50
27-May-2016,814.45
30-May-2016,821.10
31-May-2016,816.50
01-Jun-2016,824.50
02-Jun-2016,822.55
03-Jun-2016,824.05
06-Jun-2016,819.95
07-Jun-2016,827.50
08-Jun-2016,830.00
09-Jun-2016,824.00
10-Jun-2016,823.45
13-Jun-2016,813.84
14-Jun-2016,814.71
15-Jun-2016,823.00
16-Jun-2016,813.23
17-Jun-2016,820.05
20-Jun-2016,825.50
21-Jun-2016,826.23
22-Jun-2016,823.65
23-Jun-2016,828.30
24-Jun-2016,812.46
27-Jun-2016,814.10
28-Jun-2016,815.56
29-Jun-2016,825.29
30-Jun-2016,832.27
01-Jul-2016,837.05
04-Jul-2016,841.03
05-Jul-2016,840.00
07-Jul-2016,844.55
08-Jul-2016,840.22
11-Jul-2016,849.40
12-Jul-2016,851.64
13-Jul-2016,858.20
14-Jul-2016,858.54
15-Jul-2016,862.99
18-Jul-2016,860.35
19-Jul-2016,853.45
20-Jul-2016,860.00
21-Jul-2016,860.00
22-Jul-2016,857.10
25-Jul-2016,861.37
26-Jul-2016,866.80
27-Jul-2016,862.65
28-Jul-2016,871.41
29-Jul-2016,873.36
01-Aug-2016,870.09
02-Aug-2016,866.81
03-Aug-2016,863.20
04-Aug-2016,866.00
05-Aug-2016,875.60
08-Aug-2016,875.00
09-Aug-2016,871.91
10-Aug-2016,910.45
11-Aug-2016,867.12
12-Aug-2016,874.30
16-Aug-2016,875.90
17-Aug-2016,872.75
18-Aug-2016,878.80
19-Aug-2016,871.05
22-Aug-2016,874.35
23-Aug-2016,880.00
24-Aug-2016,874.90
25-Aug-2016,868.10
26-Aug-2016,868.50
29-Aug-2016,869.35
30-Aug-2016,880.70
31-Aug-2016,888.00
01-Sep-2016,888.40
02-Sep-2016,885.80
06-Sep-2016,898.20
07-Sep-2016,896.10
08-Sep-2016,904.75
09-Sep-2016,895.00
12-Sep-2016,882.84
14-Sep-2016,882.83
15-Sep-2016,885.00
16-Sep-2016,887.18
19-Sep-2016,890.49
20-Sep-2016,889.35
21-Sep-2016,890.75
22-Sep-2016,895.54
23-Sep-2016,895.05
26-Sep-2016,883.50
27-Sep-2016,881.00
28-Sep-2016,886.95
29-Sep-2016,871.10
30-Sep-2016,865.00
03-Oct-2016,882.00
04-Oct-2016,885.87
05-Oct-2016,884.26
06-Oct-2016,882.29
07-Oct-2016,879.36
10-Oct-2016,880.52
13-Oct-2016,864.77
14-Oct-2016,866.49
17-Oct-2016,860.52
18-Oct-2016,876.00
19-Oct-2016,876.89
20-Oct-2016,878.20
21-Oct-2016,873.77
24-Oct-2016,880.33
25-Oct-2016,878.60
26-Oct-2016,870.88
27-Oct-2016,867.25
28-Oct-2016,873.00
30-Oct-2016,872.00
01-Nov-2016,870.72
02-Nov-2016,862.20
03-Nov-2016,861.07
04-Nov-2016,855.50
07-Nov-2016,858.39
08-Nov-2016,858.11
09-Nov-2016,855.42
10-Nov-2016,866.00
11-Nov-2016,843.34
15-Nov-2016,828.61
16-Nov-2016,820.03
17-Nov-2016,818.17
18-Nov-2016,818.80
21-Nov-2016,803.72
22-Nov-2016,808.00
23-Nov-2016,814.21
24-Nov-2016,809.40
25-Nov-2016,820.45
28-Nov-2016,822.46
29-Nov-2016,827.75
30-Nov-2016,830.50
01-Dec-2016,832.00
02-Dec-2016,821.69
05-Dec-2016,824.82
06-Dec-2016,826.00
07-Dec-2016,820.85
08-Dec-2016,835.00
09-Dec-2016,837.00
12-Dec-2016,828.24
13-Dec-2016,828.20
14-Dec-2016,830.03
15-Dec-2016,827.23
16-Dec-2016,824.00
19-Dec-2016,823.00
20-Dec-2016,820.37
21-Dec-2016,819.00
22-Dec-2016,808.00
23-Dec-2016,808.00
26-Dec-2016,801.25
27-Dec-2016,814.85
28-Dec-2016,816.15
29-Dec-2016,815.65
30-Dec-2016,827.76
02-Jan-2017,830.20
03-Jan-2017,830.50
04-Jan-2017,828.59
05-Jan-2017,838.00
06-Jan-2017,838.00
09-Jan-2017,836.76
10-Jan-2017,839.30
11-Jan-2017,847.16
12-Jan-2017,850.30
13-Jan-2017,850.61
16-Jan-2017,853.85
17-Jan-2017,850.84
18-Jan-2017,853.75
19-Jan-2017,852.00
20-Jan-2017,847.66
23-Jan-2017,843.48
24-Jan-2017,852.71
25-Jan-2017,866.25
27-Jan-2017,877.40
30-Jan-2017,876.53
31-Jan-2017,869.03
01-Feb-2017,884.20
02-Feb-2017,885.06
03-Feb-2017,881.50
06-Feb-2017,889.66
07-Feb-2017,888.67
08-Feb-2017,885.00
09-Feb-2017,887.91
10-Feb-2017,890.00
13-Feb-2017,892.00
14-Feb-2017,889.71
15-Feb-2017,886.22
16-Feb-2017,889.28
17-Feb-2017,893.98
20-Feb-2017,898.10
21-Feb-2017,902.30
22-Feb-2017,902.20
23-Feb-2017,906.28
27-Feb-2017,902.00
28-Feb-2017,901.10
01-Mar-2017,907.00
02-Mar-2017,902.56
03-Mar-2017,901.76
06-Mar-2017,908.88
07-Mar-2017,907.75
08-Mar-2017,902.42
09-Mar-2017,904.50
10-Mar-2017,908.49
14-Mar-2017,922.40
15-Mar-2017,920.00
16-Mar-2017,930.46
17-Mar-2017,930.00
20-Mar-2017,926.72
