Date,NAV
01-Jan-2016,80.51
04-Jan-2016,79.30
05-Jan-2016,78.86
06-Jan-2016,78.68
07-Jan-2016,77.28
08-Jan-2016,77.56
11-Jan-2016,76.73
12-Jan-2016,76.30
13-Jan-2016,76.48
14-Jan-2016,76.24
15-Jan-2016,75.57
18-Jan-2016,74.72
19-Jan-2016,75.12
20-Jan-2016,74.07
21-Jan-2016,74.04
22-Jan-2016,75.16
25-Jan-2016,75.26
27-Jan-2016,75.33
28-Jan-2016,75.41
29-Jan-2016,76.45
01-Feb-2016,76.42
02-Feb-2016,75.71
03-Feb-2016,74.55
04-Feb-2016,75.00
05-Feb-2016,76.10
08-Feb-2016,75.48
09-Feb-2016,74.03
10-Feb-2016,73.08
11-Feb-2016,70.65
12-Feb-2016,70.48
15-Feb-2016,72.48
16-Feb-2016,71.47
17-Feb-2016,71.94
18-Feb-2016,73.11
19-Feb-2016,73.00
22-Feb-2016,73.35
23-Feb-2016,72.20
24-Feb-2016,71.19
25-Feb-2016,70.70
26-Feb-2016,71.30
29-Feb-2016,71.02
01-Mar-2016,72.79
02-Mar-2016,74.60
03-Mar-2016,75.53
04-Mar-2016,75.70
08-Mar-2016,76.17
09-Mar-2016,76.09
10-Mar-2016,75.70
11-Mar-2016,76.33
14-Mar-2016,76.36
15-Mar-2016,75.58
16-Mar-2016,75.99
17-Mar-2016,76.04
18-Mar-2016,76.73
21-Mar-2016,78.00
22-Mar-2016,78.37
23-Mar-2016,78.75
28-Mar-2016,77.70
29-Mar-2016,77.43
30-Mar-2016,79.11
31-Mar-2016,78.63
01-Apr-2016,78.80
04-Apr-2016,79.10
05-Apr-2016,77.50
06-Apr-2016,77.40
07-Apr-2016,76.75
08-Apr-2016,77.03
11-Apr-2016,77.87
12-Apr-2016,78.14
13-Apr-2016,79.46
18-Apr-2016,80.06
20-Apr-2016,80.29
21-Apr-2016,80.17
22-Apr-2016,80.10
25-Apr-2016,79.81
26-Apr-2016,80.86
27-Apr-2016,80.91
28-Apr-2016,80.47
29-Apr-2016,79.68
02-May-2016,79.50
03-May-2016,79.61
04-May-2016,78.71
05-May-2016,77.70
06-May-2016,77.53
09-May-2016,78.87
10-May-2016,79.22
11-May-2016,78.88
12-May-2016,79.36
13-May-2016,78.58
16-May-2016,79.01
17-May-2016,79.30
18-May-2016,79.00
19-May-2016,78.19
20-May-2016,77.94
23-May-2016,77.73
24-May-2016,77.95
25-May-2016,79.41
26-May-2016,80.52
27-May-2016,81.78
30-May-2016,81.61
31-May-2016,81.80
01-Jun-2016,81.99
02-Jun-2016,82.19
03-Jun-2016,82.50
06-Jun-2016,82.30
07-Jun-2016,82.80
08-Jun-2016,82.90
09-Jun-2016,82.46
10-Jun-2016,82.08
13-Jun-2016,81.40
14-Jun-2016,81.49
15-Jun-2016,82.30
16-Jun-2016,81.81
17-Jun-2016,81.93
20-Jun-2016,82.61
21-Jun-2016,82.60
22-Jun-2016,82.75
23-Jun-2016,83.07
24-Jun-2016,81.61
27-Jun-2016,81.40
28-Jun-2016,81.94
29-Jun-2016,82.29
30-Jun-2016,83.24
01-Jul-2016,83.60
04-Jul-2016,84.10
05-Jul-2016,83.74
07-Jul-2016,83.85
08-Jul-2016,83.62
11-Jul-2016,85.06
12-Jul-2016,85.45
13-Jul-2016,85.48
14-Jul-2016,86.07
15-Jul-2016,85.89
18-Jul-2016,85.56
19-Jul-2016,85.65
20-Jul-2016,86.08
21-Jul-2016,85.64
22-Jul-2016,85.84
25-Jul-2016,86.74
26-Jul-2016,86.29
27-Jul-2016,86.79
28-Jul-2016,87.16
29-Jul-2016,87.11
01-Aug-2016,87.05
02-Aug-2016,86.85
03-Aug-2016,86.38
04-Aug-2016,86.24
05-Aug-2016,87.24
08-Aug-2016,88.03
09-Aug-2016,87.74
10-Aug-2016,86.43
11-Aug-2016,86.38
12-Aug-2016,87.29
16-Aug-2016,87.04
17-Aug-2016,86.77
18-Aug-2016,87.21
19-Aug-2016,87.14
22-Aug-2016,86.76
23-Aug-2016,86.98
24-Aug-2016,87.09
25-Aug-2016,86.74
26-Aug-2016,86.39
29-Aug-2016,86.72
30-Aug-2016,87.96
31-Aug-2016,88.65
01-Sep-2016,88.40
02-Sep-2016,88.67
06-Sep-2016,89.97
07-Sep-2016,90.05
08-Sep-2016,90.42
09-Sep-2016,89.68
12-Sep-2016,87.95
14-Sep-2016,88.37
15-Sep-2016,88.46
16-Sep-2016,88.59
19-Sep-2016,88.80
20-Sep-2016,88.66
21-Sep-2016,88.70
22-Sep-2016,89.41
23-Sep-2016,89.30
26-Sep-2016,88.48
27-Sep-2016,87.97
28-Sep-2016,88.36
29-Sep-2016,87.25
30-Sep-2016,86.82
03-Oct-2016,88.49
04-Oct-2016,88.58
05-Oct-2016,88.40
06-Oct-2016,88.05
07-Oct-2016,88.00
10-Oct-2016,88.19
13-Oct-2016,87.20
14-Oct-2016,86.99
17-Oct-2016,86.80
18-Oct-2016,87.80
19-Oct-2016,87.56
