Date,Cash Price,Basis,Fall Price,Fall Basis
2000-12-01,4.9,-0.18,5.02,-0.26
2000-12-04,4.87,-0.18,4.99,-0.26
2000-12-05,4.83,-0.18,4.98,-0.26
2000-12-06,4.89,-0.18,5.02,-0.26
2000-12-07,4.85,-0.18,4.98,-0.26
2000-12-08,4.94,-0.18,5.03,-0.26
2000-12-11,4.93,-0.18,5.0,-0.26
2000-12-12,4.89,-0.19,4.96,-0.26
2000-12-13,4.88,-0.19,4.97,-0.26
2000-12-14,4.86,-0.19,4.97,-0.26
2000-12-15,4.89,-0.19,4.99,-0.26
2000-12-18,4.91,-0.19,5.02,-0.26
2000-12-19,4.93,-0.19,5.03,-0.26
2000-12-20,4.91,-0.17,5.0,-0.26
2000-12-21,4.95,-0.15,5.01,-0.26
2000-12-22,4.96,-0.15,4.98,-0.26
2000-12-26,4.91,-0.15,4.98,-0.26
2000-12-27,4.86,-0.13,4.93,-0.26
2000-12-28,4.85,-0.13,4.89,-0.26
2000-12-29,4.87,-0.13,4.91,-0.26
2001-01-02,4.82,-0.13,4.88,-0.26
2001-01-03,4.85,-0.13,4.89,-0.26
2001-01-04,4.8,-0.21,4.84,-0.26
2001-01-05,4.77,-0.21,4.81,-0.26
2001-01-08,4.78,-0.21,4.82,-0.26
2001-01-09,4.82,-0.21,4.85,-0.26
2001-01-10,4.77,-0.21,4.81,-0.26
2001-01-11,4.64,-0.21,4.71,-0.26
2001-01-12,4.62,-0.21,4.67,-0.26
2001-01-16,4.59,-0.19,4.6,-0.26
2001-01-17,4.54,-0.19,4.58,-0.26
2001-01-18,4.55,-0.19,4.6,-0.26
2001-01-19,4.52,-0.19,4.55,-0.26
2001-01-22,4.58,-0.19,4.62,-0.26
2001-01-23,4.5,-0.19,4.54,-0.26
2001-01-24,4.51,-0.19,4.56,-0.26
2001-01-25,4.47,-0.19,4.54,-0.26
2001-01-26,4.43,-0.18,4.46,-0.26
2001-01-29,4.42,-0.18,4.45,-0.26
2001-01-30,4.43,-0.18,4.48,-0.26
2001-01-31,4.42,-0.18,4.5,-0.26
2001-02-01,4.45,-0.18,4.55,-0.26
2001-02-02,4.51,-0.18,4.58,-0.26
2001-02-05,4.47,-0.16,4.53,-0.26
2001-02-06,4.49,-0.16,4.54,-0.26
2001-02-07,4.48,-0.16,4.52,-0.26
2001-02-08,4.37,-0.16,4.4,-0.26
2001-02-09,4.41,-0.16,4.4,-0.26
2001-02-12,4.39,-0.15,4.37,-0.26
2001-02-13,4.35,-0.15,4.35,-0.26
2001-02-14,4.34,-0.15,4.36,-0.26
2001-02-15,4.36,-0.15,4.34,-0.26
2001-02-16,4.39,-0.15,4.37,-0.26
2001-02-20,4.39,-0.15,4.39,-0.26
2001-02-21,4.43,-0.15,4.4,-0.26
2001-02-22,4.4,-0.15,4.37,-0.26
2001-02-23,4.34,-0.14,4.29,-0.26
2001-02-26,4.36,-0.14,4.28,-0.26
2001-02-27,4.38,-0.14,4.34,-0.25
2001-02-28,4.4,-0.14,4.41,-0.25
2001-03-01,4.43,-0.14,4.46,-0.25
2001-03-02,4.42,-0.14,4.42,-0.25
2001-03-05,4.46,-0.14,4.44,-0.25
2001-03-06,4.53,-0.14,4.52,-0.25
2001-03-07,4.49,-0.14,4.47,-0.25
2001-03-08,4.47,-0.14,4.47,-0.25
2001-03-09,4.47,-0.15,4.47,-0.25
2001-03-12,4.46,-0.15,4.46,-0.25
2001-03-13,4.42,-0.15,4.42,-0.25
2001-03-14,4.29,-0.15,4.29,-0.25
2001-03-15,4.31,-0.15,4.27,-0.25
2001-03-16,4.28,-0.15,4.25,-0.25
2001-03-19,4.28,-0.16,4.26,-0.25
2001-03-20,4.31,-0.16,4.3,-0.25
2001-03-21,4.28,-0.16,4.26,-0.25
2001-03-22,4.21,-0.14,4.18,-0.25
2001-03-23,4.23,-0.14,4.16,-0.25
2001-03-26,4.28,-0.14,4.21,-0.25
2001-03-27,4.32,-0.14,4.24,-0.25
2001-03-28,4.28,-0.14,4.21,-0.25
2001-03-29,4.23,-0.14,4.13,-0.25
2001-03-30,4.15,-0.14,4.03,-0.25
2001-04-02,4.19,-0.14,4.09,-0.25
2001-04-03,4.18,-0.13,4.1,-0.25
2001-04-04,4.25,-0.13,4.16,-0.25
2001-04-05,4.25,-0.13,4.15,-0.25
2001-04-06,4.25,-0.11,4.12,-0.25
2001-04-09,4.31,-0.11,4.17,-0.25
2001-04-10,4.22,-0.11,4.11,-0.25
2001-04-11,4.27,-0.11,4.15,-0.25
2001-04-12,4.26,-0.1,4.14,-0.25
2001-04-16,4.23,-0.1,4.1,-0.25
2001-04-17,4.22,-0.08,4.07,-0.25
2001-04-18,4.26,-0.08,4.05,-0.25
2001-04-19,4.22,-0.08,3.97,-0.25
2001-04-20,4.22,-0.08,3.98,-0.25
2001-04-21,4.22,-0.08,3.97,-0.25
2001-04-23,4.16,-0.08,3.94,-0.25
2001-04-24,4.18,-0.08,3.99,-0.25
2001-04-27,4.23,-0.05,4.02,-0.25
2001-04-30,4.35,-0.03,4.1,-0.25
2001-05-01,4.34,-0.04,4.09,-0.25
2001-05-02,4.37,-0.04,4.1,-0.25
2001-05-03,4.34,-0.04,4.04,-0.25
2001-05-04,4.39,-0.04,4.12,-0.25
2001-05-07,4.34,-0.04,4.05,-0.25
2001-05-08,4.37,-0.04,4.06,-0.25
2001-05-09,4.36,-0.04,4.05,-0.25
2001-05-10,4.33,-0.02,3.98,-0.25
